code_id,code_name,definition,example_application,parent_theme,subcodes
C01,Hallucination Instance,Model output contains a claim not entailed by provided context,Participant described model fabricating legal citations,TH2,"factual_error,unsupported_claim,training_data_bleed"
C02,Threshold Calibration Challenge,Difficulty determining acceptable metric value for domain,Participant described ad hoc threshold setting process,TH5,"empirical_calibration,expert_judgment,benchmark_gap"
C03,Explanation Opacity,Inability to provide interpretable reasoning for model output,Participant described audit trail existing but unusable,TH3,"black_box,chain_of_thought,source_attribution"
C04,Prompt Template Brittleness,Quality degradation following prompt change,Participant described accuracy drop after minor wording change,TH6,"prompt_sensitivity,version_management,regression"
C05,Existing Tool Inadequacy,Current QA tooling insufficient for LLM-specific failure modes,Participant stated unit tests pass but hallucinations go undetected,TH1,"tool_gap,test_coverage,llm_specific"
C06,Ad Hoc Quality Assessment,Quality evaluation performed without systematic framework,Team relies on manual spot-checks and user complaints,TH1,"informal_process,reactive,no_framework"
C07,Metric Proliferation,Excessive number of metrics without clear priority or aggregation,Participant listed 15+ metrics tracked with no composite score,TH1,"metric_overload,dashboard_noise,unclear_priority"
C08,Benchmark Mismatch,Standard benchmarks do not reflect production quality concerns,High HELM scores but poor user satisfaction in production,TH1,"benchmark_validity,production_gap,construct_validity"
C09,RAG Attribution Failure,Retrieval-augmented system cites incorrect or non-existent source,Customer support bot cited non-existent policy clause,TH2,"rag,retrieval,citation"
C10,Confident Confabulation,Model asserts fabricated facts with high apparent confidence,Medical assistant stated incorrect drug dosage without uncertainty,TH2,"confidence_calibration,overconfidence,safety"
C11,Context Boundary Violation,Model uses knowledge beyond provided context inappropriately,Document QA system answered from training data not the uploaded doc,TH2,"context_grounding,training_bleed,faithfulness"
C12,Temporal Hallucination,Model generates outdated or time-inconsistent information,System cited regulations superseded two years prior,TH2,"temporal_consistency,knowledge_cutoff,staleness"
C13,Audit Trail Deficiency,Insufficient logging to reconstruct model decision path,Could not determine which prompt version caused incident,TH3,"logging,audit,traceability"
C14,User Trust Erosion,User confidence in system decreases due to opaque outputs,Users stopped using recommendations they could not verify,TH3,"trust,adoption,user_experience"
C15,Regulatory Explanation Gap,System cannot produce explanations meeting regulatory requirements,EU AI Act high-risk classification requires explainability not implemented,TH3,"regulation,compliance,eu_ai_act"
C16,Developer Interpretability Need,Engineering team cannot diagnose failure without explanation,Root cause analysis required manual inspection of 10K logs,TH3,"debugging,root_cause,developer_tooling"
C17,Provider Dependency Risk,Over-reliance on single LLM provider creates availability risk,GPT-4 outage caused complete product unavailability for 4 hours,TH4,"vendor_lock,availability,fallback"
C18,Latency SLA Breach,Response latency exceeds user experience threshold,P95 latency spikes to 8s during peak load; threshold is 2s,TH4,"latency,sla,performance"
C19,Cost Quality Decoupling,API cost increases without corresponding quality improvement,Moved to GPT-4 at 10x cost; quality improvement not measurable,TH4,"cost,roi,quality_economics"
C20,Integration Testing Gap,LLM integration not tested as component boundary,Unit tests pass; integration fails due to context window truncation,TH4,"testing,integration,context_window"
C21,Domain Threshold Divergence,Industry-specific acceptable quality differs from generic defaults,Medical team required 99%+ factual precision vs 85% default,TH5,"domain_adaptation,threshold,calibration"
C22,Threshold Instability,Acceptable quality thresholds change as system matures or regulations evolve,EU AI Act passage required immediate threshold review,TH5,"threshold_evolution,regulation,drift"
C23,Missing Baseline Reference,No established industry baseline for LLM quality metrics,Could not determine if 0.87 faithfulness score is good or bad,TH5,"benchmarking,baseline,reference_standard"
C24,Implicit Prompt Regression,Quality degradation from minor prompt wording changes,Changing 'respond concisely' to 'be brief' increased hallucination rate,TH6,"prompt_regression,wording_sensitivity,testing"
C25,Prompt Version Control Absence,No systematic tracking of prompt template changes,Team had no record of which prompt version was live during incident,TH6,"version_control,prompt_management,traceability"
C26,Cross-System Prompt Instability,Prompts tuned for one model degrade on another,GPT-4 optimised prompt failed on Claude deployment,TH6,"model_portability,prompt_transfer,vendor_change"
C27,HIPAA Compliance Pressure,Healthcare data privacy requirements impose strict quality constraints,PHI in model output triggered mandatory breach notification,TH7,"hipaa,healthcare,pii,privacy"
C28,EU AI Act Uncertainty,Evolving AI regulation creates compliance ambiguity,High-risk classification unclear; team implemented precautionary measures,TH7,"eu_ai_act,regulation,compliance,uncertainty"
C29,Audit Evidence Gap,Cannot produce machine-readable audit evidence for regulators,Financial regulator requested model decision logs; none existed,TH7,"audit,evidence,financial_regulation,logging"
C30,Multi-Tool Monitoring Burden,Quality monitoring requires integrating many disparate tools,"Team used Prometheus, Datadog, custom NLI scripts, and spreadsheets",TH8,"tooling,integration,fragmentation,overhead"
