excerpt_id,interview_id,sector,participant_role,theme_id,code_id,excerpt_text,coder_1_confidence,coder_2_confidence,coding_agreement,excerpt_length_words
EX-001,INT-02,Healthcare,AI Product Manager,TH1,C05,We use unit tests and some BLEU scores but they catch nothing about hallucination.,4,1,agreed,109
EX-002,INT-10,E-Commerce,ML Engineering Manager,TH1,C07,The model confidently states wrong things. That's our biggest worry.,1,4,agreed,118
EX-003,INT-07,Financial Services,LLM Safety Engineer,TH1,C05,Users ask why the system said X and we genuinely cannot tell them.,5,3,agreed,90
EX-004,INT-12,Manufacturing,AI Systems Architect,TH1,C05,Provider went down for four hours and so did our product completely.,1,2,agreed,119
EX-005,INT-14,Healthcare,Chief Data Officer,TH1,C06,We set thresholds by gut feel. There's no industry standard to reference.,1,4,agreed,82
EX-006,INT-14,Healthcare,Chief Data Officer,TH1,C07,Changing one word in the prompt dropped accuracy by twelve percent.,2,3,agreed,65
EX-007,INT-05,Software Dev Tooling,ML Platform Engineer,TH1,C05,HIPAA means we need near-zero PII leakage. The default tools don't give us that.,5,2,agreed,61
EX-008,INT-07,Financial Services,LLM Safety Engineer,TH1,C07,We have five different monitoring tools and none of them talk to each other.,5,2,agreed,109
EX-009,INT-13,Financial Services,Director of AI,TH1,C05,The retrieval system pulled the wrong document and the model cited it confidently.,2,1,agreed,78
EX-010,INT-02,Healthcare,AI Product Manager,TH1,C06,Our benchmark scores are great but users keep complaining about wrong answers.,5,3,agreed,96
EX-011,INT-07,Financial Services,LLM Safety Engineer,TH1,C08,We cannot explain to the regulator why the system made that recommendation.,2,3,agreed,67
EX-012,INT-09,Legal Tech,VP of Engineering,TH1,C07,Every model update requires us to re-validate the prompt from scratch.,5,4,discussed,75
EX-013,INT-03,Legal Tech,Head of LLM Engineering,TH1,C08,The audit log exists but it's not structured so we can't query it meaningfully.,1,1,agreed,61
EX-014,INT-03,Legal Tech,Head of LLM Engineering,TH1,C08,A confidence score would help but the model just asserts everything equally.,5,1,discussed,77
EX-015,INT-08,Healthcare,Clinical Informatics Lead,TH1,C07,GDPR means we need to explain automated decisions. We currently cannot do that.,5,1,agreed,98
EX-016,INT-09,Legal Tech,VP of Engineering,TH1,C07,Cost went up three times when we moved to the better model. Quality is hard to quantify.,3,1,agreed,80
EX-017,INT-08,Healthcare,Clinical Informatics Lead,TH1,C05,Our medical team wants 99% factual precision. The 85% default is nowhere near enough.,3,5,agreed,86
EX-018,INT-02,Healthcare,AI Product Manager,TH1,C07,We discovered the system was using training data instead of the provided document.,5,5,agreed,61
EX-019,INT-13,Financial Services,Director of AI,TH1,C06,Two weeks after the EU AI Act passed we had an emergency threshold review.,5,5,agreed,92
EX-020,INT-08,Healthcare,Clinical Informatics Lead,TH1,C05,"The fragmentation is exhausting. Prometheus for infra, custom scripts for semantics.",1,3,agreed,67
EX-021,INT-04,E-Commerce,Senior Data Scientist,TH1,C05,No citation means users cannot verify anything. Trust just collapses.,1,4,agreed,118
EX-022,INT-09,Legal Tech,VP of Engineering,TH1,C06,We had a P95 latency spike to eight seconds. Our SLA is two.,2,4,agreed,69
EX-023,INT-14,Healthcare,Chief Data Officer,TH1,C08,Prompt version control is a spreadsheet. It breaks constantly.,2,5,agreed,100
EX-024,INT-07,Financial Services,LLM Safety Engineer,TH1,C07,The financial regulator asked for decision logs. We had nothing machine-readable.,4,5,discussed,58
EX-025,INT-04,E-Commerce,Senior Data Scientist,TH1,C05,Good scores on HELM but still getting hallucinations daily in production.,3,1,agreed,91
EX-026,INT-01,Financial Services,Principal ML Engineer,TH1,C05,Every system is different so a generic framework wouldn't work for us. Or so we thought.,1,2,agreed,113
EX-027,INT-14,Healthcare,Chief Data Officer,TH1,C07,The explanation the model gives often contradicts what it actually did.,1,5,agreed,69
EX-028,INT-08,Healthcare,Clinical Informatics Lead,TH1,C06,We lost a client because the system cited a regulation that was repealed.,5,2,discussed,67
EX-029,INT-08,Healthcare,Clinical Informatics Lead,TH1,C08,Our GPU cluster has variance in latency that the LLM API doesn't.,2,1,agreed,96
EX-030,INT-06,Manufacturing,Applied AI Lead,TH1,C08,There is no transparency by default. You have to build it in deliberately.,4,4,agreed,97
EX-031,INT-11,Software Dev Tooling,Staff Software Engineer,TH1,C05,We use unit tests and some BLEU scores but they catch nothing about hallucination.,1,4,agreed,106
EX-032,INT-02,Healthcare,AI Product Manager,TH1,C06,The model confidently states wrong things. That's our biggest worry.,2,2,discussed,60
EX-033,INT-03,Legal Tech,Head of LLM Engineering,TH1,C07,Users ask why the system said X and we genuinely cannot tell them.,4,2,agreed,81
EX-034,INT-14,Healthcare,Chief Data Officer,TH1,C05,Provider went down for four hours and so did our product completely.,1,5,agreed,118
EX-035,INT-13,Financial Services,Director of AI,TH1,C06,We set thresholds by gut feel. There's no industry standard to reference.,2,4,discussed,84
EX-036,INT-14,Healthcare,Chief Data Officer,TH1,C08,Changing one word in the prompt dropped accuracy by twelve percent.,1,2,discussed,50
