annotation_id,system_id,query_id,claim_text,annotator_1_judgment,annotator_2_judgment,annotator_3_judgment,majority_judgment,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,mean_confidence,evidence_snippet,fleiss_kappa_batch,annotation_date,adjudicated
FC4-0001,S1,S1-Q27697,Sample claim 1 from Customer Support Chatbot output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 1.,0.724,2024-11-13,0
FC4-0002,S2,S2-Q06339,Sample claim 2 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 2.,0.724,2024-11-15,0
FC4-0003,S3,S3-Q08181,Sample claim 3 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 3.,0.724,2024-11-18,0
FC4-0004,S4,S4-Q46175,Sample claim 4 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 4.,0.724,2024-10-09,0
FC4-0005,S1,S1-Q24912,Sample claim 5 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 5.,0.724,2024-11-05,0
FC4-0006,S2,S2-Q17497,Sample claim 6 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 6.,0.724,2024-12-29,0
FC4-0007,S3,S3-Q16044,Sample claim 7 from Document Summarization and QA output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 7.,0.724,2024-10-21,0
FC4-0008,S4,S4-Q44867,Sample claim 8 from Medical Triage Assistant output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 8.,0.724,2024-11-11,0
FC4-0009,S1,S1-Q17547,Sample claim 9 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,4,4,3.67,Evidence snippet supporting judgment for claim 9.,0.724,2024-10-09,0
FC4-0010,S2,S2-Q32718,Sample claim 10 from AI Code Assistant IDE Plugin output.,CORRECT,INCORRECT,UNVERIFIABLE,INCORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 10.,0.724,2024-11-20,1
FC4-0011,S3,S3-Q36790,Sample claim 11 from Document Summarization and QA output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 11.,0.724,2024-12-08,0
FC4-0012,S4,S4-Q09066,Sample claim 12 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 12.,0.724,2024-12-05,0
FC4-0013,S1,S1-Q44597,Sample claim 13 from Customer Support Chatbot output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 13.,0.724,2024-11-24,0
FC4-0014,S2,S2-Q36257,Sample claim 14 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 14.,0.724,2024-10-02,0
FC4-0015,S3,S3-Q07311,Sample claim 15 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 15.,0.724,2024-11-07,0
FC4-0016,S4,S4-Q49936,Sample claim 16 from Medical Triage Assistant output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 16.,0.724,2024-10-23,0
FC4-0017,S1,S1-Q13036,Sample claim 17 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,5,5.0,Evidence snippet supporting judgment for claim 17.,0.724,2024-10-20,0
FC4-0018,S2,S2-Q21244,Sample claim 18 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 18.,0.724,2024-12-02,0
FC4-0019,S3,S3-Q15786,Sample claim 19 from Document Summarization and QA output.,CORRECT,UNVERIFIABLE,UNVERIFIABLE,UNVERIFIABLE,4,3,3,3.33,Evidence snippet supporting judgment for claim 19.,0.724,2024-12-12,0
FC4-0020,S4,S4-Q08415,Sample claim 20 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 20.,0.724,2024-12-24,0
FC4-0021,S1,S1-Q35344,Sample claim 21 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 21.,0.724,2024-12-28,0
FC4-0022,S2,S2-Q33920,Sample claim 22 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 22.,0.724,2024-11-27,0
FC4-0023,S3,S3-Q38565,Sample claim 23 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 23.,0.724,2024-10-29,0
FC4-0024,S4,S4-Q04644,Sample claim 24 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 24.,0.724,2024-12-05,0
