annotation_id,system_id,query_id,explanation_text_excerpt,annotator_1,annotator_2,annotator_3,majority_label,dim_accuracy_mean,dim_completeness_mean,dim_no_post_hoc_mean,dim_source_mean,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,fleiss_kappa_batch,annotation_date,adjudicated
TI2-0001,S1,S1-Q13245,Explanation excerpt 1 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.92,0.678,0.657,0.729,3,4,3,0.614,2024-12-04,0
TI2-0002,S2,S2-Q09391,Explanation excerpt 2 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.869,0.539,0.945,0.741,5,4,4,0.614,2024-10-17,0
TI2-0003,S3,S3-Q20381,Explanation excerpt 3 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.926,0.775,0.828,0.582,5,3,3,0.614,2024-11-29,0
TI2-0004,S4,S4-Q37851,Explanation excerpt 4 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.865,0.756,0.713,0.624,5,4,3,0.614,2024-11-06,0
TI2-0005,S1,S1-Q10322,Explanation excerpt 5 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.696,0.506,0.837,0.74,3,4,3,0.614,2024-10-27,0
TI2-0006,S2,S2-Q16045,Explanation excerpt 6 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.66,0.625,0.918,0.75,5,4,5,0.614,2024-10-07,0
TI2-0007,S3,S3-Q05644,Explanation excerpt 7 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.749,0.572,0.829,0.769,3,4,3,0.614,2024-12-28,0
TI2-0008,S4,S4-Q34963,Explanation excerpt 8 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.627,0.869,0.879,0.76,3,5,5,0.614,2024-10-12,0
TI2-0009,S1,S1-Q42233,Explanation excerpt 9 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.849,0.686,0.72,0.633,4,4,5,0.614,2024-12-18,1
TI2-0010,S2,S2-Q29707,Explanation excerpt 10 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.771,0.526,0.684,0.727,5,4,4,0.614,2024-10-22,0
